Code zone (M49);Zone;Code Élément;Élément;Produit;Année;Unité;Valeur;Symbole;Description du Symbole
780;Trinité-et-Tobago;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;63907;A;Chiffre officiel
788;Tunisie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;138800;A;Chiffre officiel
795;Turkménistan;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;18454;I;Valeur imputée
792;Turquie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;2136734;A;Chiffre officiel
798;Tuvalu;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;60;I;Valeur imputée
804;Ukraine;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1184700;A;Chiffre officiel
858;Uruguay;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;74428;A;Chiffre officiel
548;Vanuatu;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;806;E;Valeur estimée
862;Venezuela (République bolivarienne du);5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;462413;A;Chiffre officiel
704;Viet Nam;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;786354;A;Chiffre officiel
887;Yémen;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;168628;I;Valeur imputée
894;Zambie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;47421;I;Valeur imputée
716;Zimbabwe;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;92118;I;Valeur imputée
